station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
68t,อุตุนิยมวิทยาลำพูน,"Meteorological Staions, Lamphun","ต.บ้านกลาง อ.เมือง, ลำพูน",18.567194,99.038639,2026-09-05,02:00,13.3,22.0,23.0,22,False,True,2026-09-05T02:38:09
112t,สถานีอุตุนิยมวิทยาศรีสะเกษ,Sisaket Meteorological Center,"ต.หนองครก อ.เมือง, ศรีสะเกษ",15.087087,104.326787,2026-09-05,02:00,9.9,17.0,,18,False,False,2026-09-05T02:38:09
90t,สถานีอุตุนิยมวิทยาสกลนคร,"Meteorological stations, Sakon Nakhon","ต.ธาตุนาเวง อ.เมือง, สกลนคร",17.15662,104.133216,2026-09-05,02:00,10.2,17.0,18.0,17,False,False,2026-09-05T02:38:09
44t,เทศบาลนครหาดใหญ่ ,Hat Yai Municipality,"ต.หาดใหญ่ อ.หาดใหญ่, สงขลา",7.020434,100.484088,2026-09-04,22:00,5.9,10.0,,10,False,False,2026-09-05T02:38:09
80t,ศาลากลาง จ.สตูล,"City Hall, Satun","ต.พิมาน อ.เมือง, สตูล",6.624747,100.066159,2026-09-04,22:00,5.5,9.0,,9,False,False,2026-09-05T02:38:09
08t,ศูนย์ฟื้นฟูอาชีพคนพิการและทุพลภาพ ,Prabadang Rehabiltation Center,"ต.ทรงคนอง อ.พระประแดง, สมุทรปราการ",13.664087,100.543436,2026-09-05,02:00,20.6,39.0,,39,False,False,2026-09-05T02:38:09
16t,โรงไฟฟ้าพระนครใต้ ,South Bangkok Power Plant,"ต.บางโปรง อ.เมือง, สมุทรปราการ",13.618,100.5562,2026-09-05,02:00,14.3,24.0,28.0,24,False,False,2026-09-05T02:38:09
17t,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,Residence for Dept. of Mineral Resources,"ต.ตลาด อ.พระประแดง, สมุทรปราการ",13.652141,100.531805,2026-09-05,02:00,14.8,25.0,,25,False,False,2026-09-05T02:38:09
18t,ศาลากลางจังหวัดสมุทรปราการ ,"City Hall, Samut Prakan","ต.ปากน้ำ อ.เมือง, สมุทรปราการ",13.599149,100.597345,2026-09-05,02:00,24.6,49.0,,49,False,False,2026-09-05T02:38:09
19t,การเคหะชุมชนเมืองใหม่บางพลี ,National Housing Authority Bangplee,"ต.บางเสาธง อ.บางเสาธง, สมุทรปราการ",13.5705,100.7862867,2026-09-05,02:00,16.5,29.0,,29,False,False,2026-09-05T02:38:09
